,Incident Unique ID,Incident Date & Time,Street Name,Borough,Zip Code,Incident Description Details,Injury Count,Fatality Count
0,1000001318.0,2021-01-04 07:00:00,North 14th St,Brooklyn,11249.0,"On 1/31/20 at 10 AM Mr. Mendoza claims some kind of debris went into his eye. He thought the issue with his eye was not a problem. Today 1/4/21 he called out of work complaining his eye is still bothering him from 1/31/20, he reported to his superiors. As of today no medical attention was sought or received.",1.0,0.0
1,1000001319.0,2021-01-04 11:00:00,east 14th st,Manhattan,10003.0,"Jeremy DeYoung, reported an accident on the jobsite today. Jeremy stated that he was working alone on the South side of the Roof (21st floor) cutting plastic shims with a box cutter knife in his right hand, when the knife slipped causing him to cut his left hand on his middle finger.",1.0,0.0
2,1000001322.0,2021-01-04 10:30:00,park ave,Manhattan,10022.0,Worker was walking with a GC employee on a finished client occupied floor for punch list purposes touching up small paint inconsistencies. Worker was stepping on the first or second step of a ladder and fell back. Felt discomfort in his thumb and went to Medrite to get it checked out.,1.0,0.0
3,1000001324.0,2021-01-06 16:30:00,Pennsylvania Avenue,Brooklyn,11207.0,"Allegedly, a member of the public driving down Pennsylvania Avenue had a seizure. She struck another car, which drove over the curb on Pennsylvania Avenue, through the fence, scaffold and into the site. The condition of the drivers are unknown. The car struck the security guard booth, and the booth pushed an Agra worker.",3.0,0.0
4,1000001325.0,2021-01-06 16:00:00,Summerfield Street,Queens,11385.0,"A worker, from ""Do All Interiors"", fell off an A-frame ladder while applying compound. She required medical attention and was taken off site in an ambulance.",1.0,0.0
5,1000001326.0,2021-01-06 04:00:00,Summerfield St,Queens,11385.0,A laborer fell off a ladder on the second floor within an enclosed space while doing compound/pain work on an interior wall. the laborer was taken to to a local hospital and was released and is currently at home.  ,1.0,0.0
6,1000001327.0,2021-01-06 11:05:00,Albee Square,Brooklyn,11201.0,"SSM WAS NOTIFIED THAT WORKER MR. DAVID MARTINEZ (CARPENTER) FELL OFF AN A-FRAME LADDER ON THE 8TH FLOOR. WHEN SSM ARVIED AT THE SCENE, MR. DAVID MARTINEZ  WAS HOLDING HIS RIGHT ARM/WRIST. SSM ASKED  MR. DAVID MARTINEZ HOW HE FELL, HE STATED THAT HE WAS PLACING CAULK AROUND DUCT WORK  WHEN HE FELL OFF THE LADDER AND INJURED HIS WRSIT/ARM. ",1.0,0.0
7,1000001328.0,2021-01-07 11:15:00,Beach 21st Street,Queens,11691.0,"While the worker was using a hammer, the hammer bounced back striking him in the right eye.",1.0,0.0
8,1000001329.0,2021-01-07 14:30:00,Grand Concourse,Bronx,10451.0,Workers working above on scaffold installing netting.  Netting slipped from hands and struck worker below,1.0,0.0
9,1000001331.0,2021-01-07 10:15:00,Hoyt Street,Brooklyn,11201.0,"As per the witness - Severino Bravo - Mr. Marquez was walking down the stairs on the 6th Floor with a mop and bucket in his hands on his way to mop the staircase, when Mr Bravo states that Mr. Marquez went into an epileptic seizure. His hands were flailing in the air. They attempted to grab him, but he was out of control.  They called for help - another worker from Mendoza Home Improvement came. The medic went up and attended to him. 911 was called  This is a personal medical issue. Not work related.",1.0,0.0
